,tvec,N,E,phi,psi,u,v,r,Azi,RPM
16,8.0,446.2834419187373,-3465.730614970874,0.4401696055450275,83.54559851226784,5.399085107567393,0.17040566454940106,-0.02102982941556968,-0.04159602384170673,171.38371150285582
17,8.5,446.52235720203697,-3462.802948357681,0.4609464505321515,83.53438873106252,5.400520304640105,0.1694084637778786,-0.03,-0.04243835553659592,171.42252187520842
18,9.0,446.74681639050016,-3460.0574853998173,0.4796264013401321,83.5231211260341,5.401955501712817,0.16841126300635612,-0.03,-0.040296618171427406,171.46133224756102
19,9.5,446.9712755789633,-3457.312022441954,0.47265367362965627,83.51185352100569,5.40339069878553,0.16741406223483365,-0.03,-0.03813686819023001,171.50014261991362
20,10.0,447.1957347674265,-3454.5665594840902,0.46515742237724395,83.50058591597727,5.4048258958582425,0.1664168614633112,-0.03,-0.03597711820903261,171.53895299226622
21,10.5,447.4239406549832,-3451.8085759315372,0.4576611711248316,83.48572289299386,5.4056758599233365,0.16756525536063668,-0.013873519425458388,-0.03613331481307628,171.57776336461882
22,11.0,447.6524372352641,-3449.0496209530643,0.45016491987241924,83.47066265280871,5.406511432909713,0.1687937757812489,0.005889324785446855,-0.03837650491641456,171.61657373697142
23,11.5,447.8820369953042,-3446.301816758573,0.4451608128080213,83.4512365080871,5.40734700589609,0.17002229620186113,0.0027339468565003465,-0.04029838210882707,171.65538410932402
24,12.0,448.1117121863915,-3443.554775012482,0.4402127670618525,83.43160942144183,5.408182578882467,0.17125081662247335,-0.00644036478916416,-0.04147052815431889,171.69419448167662
25,12.5,448.3413873774789,-3440.8077332664793,0.43526472131568367,83.41198233479656,5.409018151868845,0.17473440978770016,-0.015614676434828665,-0.04264267419981071,171.3523345899688
26,13.0,448.5710625685663,-3438.0606915203884,0.43031667556951486,83.39235524815129,5.409853724855221,0.17858510741123818,-0.024788988080493166,-0.04381482024530253,171.08345334541113
27,13.5,449.01091172930984,-3432.7554254601328,0.44889000867304774,83.37655804296706,5.409902188161743,0.1824358050347762,-0.02877828136064197,-0.0449400804936885,171.12733786509003
28,14.0,449.46609554824573,-3427.263506907877,0.4690716446672786,83.36128309377972,5.409902188161743,0.1862865026583142,-0.02595022688199318,-0.0449400804936885,171.17122238476892
29,14.5,449.71308254208463,-3424.3126218003895,0.48925328066150936,83.34600814459237,5.409902188161743,0.18400146749357174,-0.023122172403344386,-0.0449400804936885,171.21510690444782
30,15.0,449.9439163276673,-3421.5588859182253,0.5094349166557401,83.33073319540503,5.409902188161743,0.18126875860131814,-0.020294117924695595,-0.0449400804936885,171.25899142412675
31,15.5,450.17475011325,-3418.8051500360616,0.5080387408036149,83.32372031582598,5.409902188161743,0.1785360497090645,-0.03843621431478075,-0.0356701157306782,171.30287594380562
32,16.0,450.4055838996248,-3416.0514141538974,0.5060209846821365,83.31712400989846,5.4104739766100405,0.17619906512131622,-0.059012348464983974,-0.02086186359601161,171.34676046348454
33,16.5,450.6366385283557,-3413.311159602549,0.504003228560658,83.31052770397095,5.4120535027602426,0.1751015799318827,-0.07060724346161978,-0.0988384070504775,171.3906449831634
34,17.0,450.86771029118205,-3410.571951016959,0.5019854724391797,83.3009090909091,5.4136330289104455,0.17400409474244916,-0.08174930426937925,-0.18273737825736397,171.43452950284234
35,17.5,451.10636113296914,-3407.8086734604576,0.49968668807142846,83.29102766880365,5.415478729408231,0.1729066095530156,-0.0928913650771387,-0.2666363494642504,171.47841402252124
36,18.0,451.3456889746823,-3405.0432459449557,0.48010444042203826,83.28696887701778,5.418623986312125,0.17180912436358206,-0.09026881852230167,-0.33028299523627547,171.52229854220013
